source,line_number,text,source_url,retrieved_at_utc
nsgm_smart_meters,58,"3	PFC	Andhra Pradesh	APEPDCL	RDSS	12,55,240	12,55,240	December 2023	Multiple	51,000	8,30,430",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,60,"4	PFC	Uttarakhand	UPCL	RDSS	15,87,870	15,87,870	November 2024	Multiple	37,047	5,50,243",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,62,"5	PFC	Gujarat	DGVCL	RDSS	40,78,120	40,80,120	January 2024	IntelliSmart	65,206	11,58,190",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,64,"6	PFC	Gujarat	MGVCL	RDSS	32,99,991	32,99,991	January 2024	IntelliSmart	72,069	12,16,414",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,66,"7	PFC	Gujarat	PGVCL	RDSS	55,83,509	55,68,509	January 2024	Multiple	48,901	5,92,659",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,68,"8	PFC	Gujarat	UGVCL	RDSS	35,25,480	35,25,480	January 2024	Iskraemeco	73,866	14,32,823",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,70,"9	PFC	Himachal Pradesh	HPSEBL	RDSS	28,00,945	28,76,187	September 2024	Apraava Energy	38,491	8,81,374",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,72,"10	PFC	Jharkhand	JBVNL	RDSS	13,41,306	13,41,306	December 2024	Multiple	36,677	7,23,395",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,74,"Total:			22,42,79,749	15,06,56,408			35,09,371	6,50,44,213",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,76,"Page Total:			2,78,26,067	2,79,50,526			5,60,674	94,19,252",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,77,Showing 1 to 10 of 97 entries,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,78,Previous12345…10Next,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,80,"The above dashboard covers only IS-16444 standard certified Smart Meter deployment schemes/projects. However, 1,27,767 non IS-16444 certified but standard functionality compliant Smart Meters were deployed in some projects. For more details, click here.",https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,82,Legends:   SG - Smart Grid | NSGM - National Smart Grid Mission | RDSS - Revamped Distribution Sector Scheme | IPDS - Integrated Power Development Scheme | AMISP - Advanced Metering Infrastructure Service Provider,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,84,SI - System Integrator | DDUGJY - Deen Dayal Upadhyay Gram Jyoti Yojana | PMDP - Prime Minister Development Package | SDP - Special Development Package | ST&D - Sub Transmission & Distribution,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,86,Data last updated on 30-Apr-2026.  Data Source: Nodal Agencies.  Data Collation: Team NGSM.  Dashboard Maintenance: SR/NSGM.,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,88,Please reload the page in case of no data display,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,90,Disclaimer Copyright Policy Privacy Policy Cookie Policy Hyperlinking Policy Sitemap T & C RTI Archive Important Links Help Site Stats,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,91,Total Visitors: 486356,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,92,Your IP: 74.249.79.56,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,94,Content owned & provided by National Smart Grid Mission.,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,95,Site best viewed in all major browsers with atleast 1366x768 px resolution.,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,97,Updated On: 20-02-2026 01:11:22,https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
nsgm_smart_meters,99,(link is external),https://www.nsgm.gov.in/en/sm-stats-all,2026-05-12T16:32:48+00:00
