s_no,company_name_developer_operator,project_name,status,district,state,latitude,longitude,end_use,expected_announced_capacity_in_kilo_tonnes_per_annum_ktpa,expected_announced_capacity_electrolyser_capacity_mw,expected_announced_capacity_biomass_waste_feedstock_volume_tpd,completion_year_if_completed_expected_completion_date,source,source_table,source_url,retrieved_at_utc
47,Bharat Petroleum Corporation Limited,BPCL - Blending in CGD,Announced,nan,Maharashtra,nan,nan,Hydrogen,0.79,5.00,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
48,nan,BPCL - Electrolyser and Blending,Announced,Maharashtra - Ahmednagar and/or Aurangabad,nan,nan,nan,Blending with Natural Gas,785,5.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
49,nan,BPCL - Green Hydrogen,Commissioned,Madhya Pradesh - Bina,nan,nan,nan,Refinery,750,5.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
50,nan,BPCL - Odisha Green Hydrogen Plants,Announced,Odisha,nan,nan,nan,nan,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
51,Bharat Petroleum Corporation Limited,BPCL and CIAL Kochi Hydrogen Project,Under construction,Ernakulam,Kerala,10.151715,76.392867,Hydrogen,0.15,1,-,2025.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
52,Bharat Petroleum Corporation Limited,BPCL Bina Hydrogen Plant,Commissioned,Sagar,Madhya Pradesh,24.1796,78.1974,Hydrogen,0.78,5,-,2025.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
53,Bharat Petroleum Corporation Limited,BPCL Project 1,Announced,nan,nan,nan,nan,Hydrogen,7.6,48.20,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
54,Bharat Petroleum Corporation Limited,BPCL Project 2,Announced,nan,nan,nan,nan,Hydrogen,20.7,131.28,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
55,Bharat Petroleum Corporation Limited,BPCL Project 3,Announced,nan,nan,nan,nan,Hydrogen,37,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
56,nan,BPCL- CIAL Green H2 plant,Announced,"Kochi Airport, Kerala",nan,nan,nan,GH2 production and fuelling station,-,100.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
57,Center for Fuel Cell Technology,Center for Fuel Cell Technology Tamil Nadu Green Hydrogen Project,Commissioned,Chennai,Tamil Nadu,13.00274873,80.24175307,Hydrogen,0.001,0.01,-,2012.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
58,nan,CESC East Coast Hydrogen Project,Announced,nan,nan,nan,nan,Green Hydrogen,10500,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
59,CESC Ltd,CESC East Coast Odisha Green Hydrogen Project,Announced,nan,Odisha,nan,nan,Hydrogen,10.5,66.59,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
60,CGS Energy,CGS Energy Tuticorin Hydrogen Project,Announced,Thoothukudi,Tamil Nadu,8.760057437,78.1818675,Ammonia,19.33,122.57,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
61,nan,CPCL - Green Hydrogen Production at Chennai Refinery,Announced,Tamil Nadu - Chennai,nan,nan,nan,Refinery,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
62,Chennai Petroleum Corp Ltd,CPCL Manali Hydrogen Project- Phase I,Announced,Chennai,Tamil Nadu,13.162141,80.269685,Hydrogen,2,12.68,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
63,Chennai Petroleum Corp Ltd,CPCL Manali Hydrogen Project- Phase II,Announced,Chennai,Tamil Nadu,13.162141,80.269685,Hydrogen,8,50.74,-,2030.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
64,Deendayal Port Authority Kandla Port/ L&T,Deendayal Port Authority Kandla Port Green Hydrogen Project-Phase I,Commissioned,Kachchh,Gujarat,23.01369724,70.21428462,Hydrogen,0.16,1.00,-,2025.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
65,Deendayal Port Authority Kandla Port/ L&T,Deendayal Port Authority Kandla Port Gujarat Green Hydrogen Project -Phase II,Under construction,Kachchh,Gujarat,23.01369724,70.21428462,Hydrogen,-,5.00,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
66,EG Solwin Hybrid Pvt Ltd,EG Solwin Tata SEZ Odisha Hydrogen Project (Enfinity Global),Announced,Ganjam,Odisha,19.330196,84.911487,Ammonia,-,335.81,-,2029.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
67,Enfinity Global,Enfinity Global Odisha Project,Announced,Ganjam,Odisha,19.233935,84.870756,Ammonia,35.3,223.87,-,2029.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
68,Enfinity Global,Enfinity Global Tamil Nadu Project,Announced,Thoothukudi,Tamil Nadu,8.756517555,78.17978876,Ammonia,88.25,559.68,-,2029.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
69,Essar Group,Essar Gujarat Hydrogen Project,Announced,Jamnagar,Gujarat,22.4707,70.0577,Synthetic Fuels,-,1000,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
70,nan,Fusion Fuel Green BGR Energy JV Hydrogen Plant,Announced,Tamil Nadu - Cuddalore,nan,nan,nan,nan,142,1,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
71,Fusion Fuel Green Plc,Fusion Fuel Green BGR Energy JV Tamil Nadu Hydrogen Plant,Announced,Cuddalore,Tamil Nadu,11.748,79.7714,Hydrogen,-,1,-,2030.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
72,nan,GAIL - Vijaipur PEM Electrolyser Project,Commissioned,Madhya Pradesh - Guna,nan,nan,nan,Blending with Natural Gas,1569.5,10.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
73,GAIL (India) Ltd,GAIL Vijaipur Green Hydrogen Plant,Commissioned,Guna,Madhya Pradesh,24.47941,77.1511,Hydrogen,-,10,-,2024.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
74,nan,GAIL- GH2 Project,Commissioned,"Vijaipur Complex, Madhya Pradesh",nan,nan,nan,PEM electrolyser for GH2 producing unit,1570.542,10.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
75,nan,Gensol Matrix Pune Hydrogen Project,Announced,nan,nan,nan,nan,Green Hydrogen,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
76,Gentari,Gentari (Petronas) Mangaluru Hydrogen Project,Announced,Dakshina Kannada,Karnataka,12.915605,74.855965,Ammonia,88.25,559.68,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
77,Gentari,Gentari (Petronas) Tamil Nadu Hydrogen Project,Announced,Thoothukudi,Tamil Nadu,8.760057437,78.1818675,Ammonia,88.25,559.68,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
78,nan,GH2 Solar (Uneecops Technologies) - Green Hydrogen Pilot,Announced,nan,nan,nan,nan,nan,7.87,0.050,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
79,nan,GH2 Solar and NHPC - Green Hydrogen Microgrid,Announced,nan,nan,nan,nan,Microgrid,5.1,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
80,nan,GIPCL Gujarat - 10+5 MW Green Hydrogen Project,Announced,Gujarat,nan,nan,nan,Chemical Industry,2354.2,15.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
81,Gujarat Industries Power Co Ltd,GIPCL Gujarat Hydrogen Plant - Phase I,Announced,Vadodara,Gujarat,22.30963259,73.19366888,Hydrogen,-,5,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
82,Gujarat Industries Power Co Ltd,GIPCL Gujarat Hydrogen Plant - Phase II,Announced,Vadodara,Gujarat,22.30963259,73.19366888,Hydrogen,-,10.00,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
83,nan,Greenko - Green Hydrogen Production Plans,Announced,nan,nan,nan,nan,Ammonia production,540000,3440.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
84,nan,Greenko Una Hydrogen Project,Announced,Himachal Pradesh - Una,nan,nan,nan,Ammonia production,19.88,140.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
85,GreenZo Energy Pvt Ltd,Greenzo Hospet Hydrogen Project,Announced,Vijayanagara,Karnataka,15.26914516,76.38926892,Hydrogen,-,2.50,-,2029.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
86,Gujarat Energy Research and Management Institute,Gujarat Energy Research and Management Institute Green Hydrogen Project,Commissioned,Gandhinagar,Gujarat,23.15754467,72.68019162,Hydrogen,0.0015,0.01,-,2024.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
87,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Gujarat Narmada Valley Fertilizers & Chemicals Limited-Gujarat Green Hydrogen Project Phase II,Announced,nan,Gujarat,nan,nan,Hydrogen/ Ammonia,-,5.00,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
88,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Gujarat Narmada Valley Fertilizers & Chemicals Limited-Gujarat Green Hydrogen Project- Phase I,Announced,nan,Gujarat,nan,nan,Hydrogen/ Ammonia,-,5.00,-,2026.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
89,Gujarat State Fertilizer & Chemical,Gujarat State Fertilizer & Chemical - Vadodara Unit,Announced,Vadodara,Gujarat,22.3748277,73.15246652,Hydrogen,1.4,10.00,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
90,nan,Haryana City Gas Distribution Hydrogen Project,Announced,nan,nan,nan,nan,Hydrogen,2,15.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
