source,technology,cumulative_mw,cumulative_gw,retrieved_at_utc,source_url
MNRE physical progress,Bioenergy,11747.57,11.7476,2026-09-10T01:48:58+00:00,https://mnre.gov.in/en/physical-progress/
MNRE physical progress,Hydro,300736.13,300.7361,2026-09-10T01:48:58+00:00,https://mnre.gov.in/en/physical-progress/
MNRE physical progress,Solar,168040.05,168.04,2026-09-10T01:48:58+00:00,https://mnre.gov.in/en/physical-progress/
MNRE physical progress,Wind,58520.32,58.5203,2026-09-10T01:48:58+00:00,https://mnre.gov.in/en/physical-progress/
